hideEmployment by major industry sector[9]
Industry sector,Employee count (as of April 2024)[a]
"Architectural, engineering, and related services","1,688,800"
Specialized design services,"154,600"
Computer systems design and related services,"2,544,300"
"Management, scientific, and technical consulting services","1,896,400"
Scientific research and development services,"957,100"
"Advertising, public relations, and related services","522,900"
"Other professional, scientific, and technical services","877,100"
Management of companies and enterprises,"2,555,700"
Administrative and support and waste management and remediation services,"9,390,300"
Administrative and support services,"8,872,400"
Office administrative services,"631,400"
Facilities support services,"176,700"
Employment services[e],"3,516,500"
Temporary help services,"2,736,700"
Business support services,"709,800"
Travel arrangement and reservation services,"194,400"
Investigation and security measures,"1,015,200"
Services to buildings and dwellings,"2,284,000"
Other support services,"344,400"
Waste management and remediation services,"517,900"
Private education and health services,"26,194,000"
Private educational services,"3,869,300"
Health care and social assistance,"22,324,300"
Health care [f],"17,549,500"
Ambulatory health care services,"8,754,700"
Offices of physicians,"3,012,600"
Offices of dentists,"1,036,300"
Offices of other health practitioners,"1,203,600"
Outpatient care centers,"1,081,900"
Medical and diagnostic laboratories,"322,500"
Home health care services,"1,741,200"
Other ambulatory health care services,"356,700"
Hospitals,"5,527,400"
Nursing and residential care facilities,"3,267,400"
Nursing care facilities,"1,466,600"
"Residential intellectual and developmental disability, mental health, and substance abuse facilities","666,900"
Continuing care retirement communities and assisted living for the elderly,"970,800"
Other residential facilities,"163,200"
Social Assistance,"4,774,800"
Individual and family services,"3,189,600"
"Community food and housing, and emergency and other relief services","227,800"
Vocational rehabilitation services,"289,900"
Child care services,"1,067,400"
Leisure and hospitality,"16,897,000"
"Arts, entertainment, and recreation","2,641,400"
"Performing arts, spectator sports, and related industries","621,400"
"Museums, historical sites, and similar institutions","179,400"
"Amusements, gambling, and recreation","1,840,600"
Accommodation and food services,"14,255,200"
Accommodation,"1,923,900"
Food services and drinking places,"12,331,300"
Other services,"5,904,000"
Repair and maintenance,"1,482,200"
Personal and laundry services,"1,553,800"
"Religious, grantmaking, civic, professional, and similar organizations","2,867,800"
Government,"23,271,000"
Federal government,"2,993,000"
"Federal government, except U.S. Postal Service","2,386,700"
U.S. Postal Service,"606,200"
State government,"5,451,000"
State government education,"2,669,100"
"State government, excluding education","2,781,500"
Local government,"14,827,000"
Local government education,"8,078,400"
"Local government, excluding education","6,748,200"
